Company,"Primary Industry, Country"
Compagnie Plastic Omnium,"Motor Vehicle Parts, France"
Burelle SA,"Plastics, France"
CVR Energy Inc.,"Petroleum & Coal Products, United States"
Israel Chemicals Ltd.,"Chemicals, Israel"
Sappi Ltd.,"Paper, South Africa"
Zodiac Aerospace,"Aerospace & Defense, France"
Kunlun Energy Co. Ltd.,"Petroleum & Coal Products, Hong Kong Special Administrative Region of China"
Ashland Inc.,"Petroleum & Coal Products, United States"
PTT Exploration & Production PCL,"Petroleum & Coal Products, Thailand"
Taiyo Nippon Sanso Corp.,"Chemicals, Japan"
NHK Spring Co. Ltd.,"Fabricated Metal Products, Japan"
Ube Industries Ltd.,"Chemicals, Japan"
Owens Corning,"Stone, Clay, Glass & Concrete Products, United States"
Nippon Suisan Kaisha Ltd.,"Food, Japan"
AVIC International Holdings Ltd.,"Electronic/Electric Equip., China"
Aercap Holdings NV,"Railcars, Ships, & Other Trans. Equip., Ireland"
Hermes International SCA,"Apparel, France"
Domtar Corp.,"Paper, United States"
Lam Research Corp.,"Computers & Other Electronic Products, United States"
S&P Global Inc.,"Publishing & Printing, United States"
Beiqi Foton Motor Co. Ltd.,"Motor Vehicle Parts, China"
Samsung Electro-Mechanics Co. Ltd.,"Computers & Other Electronic Products, Korea"
Rockwell Collins Inc.,"Communications Equipment, United States"
Yokohama Rubber Co. Ltd.,"Rubber Products, Japan"
Spectra Energy Corp.,"Petroleum & Coal Products, United States"
Nippon Sheet Glass Co. Ltd.,"Stone, Clay, Glass & Concrete Products, Japan"
SEB SA,"Electrical Equipment & Appliances, France"
Fanuc Corp.,"Machinery, Japan"
CVR Refining LP,"Petroleum & Coal Products, United States"
C.P. Pokphand Co. Ltd.,"Food, Hong Kong Special Administrative Region of China"
"Kweichow Moutai Co., Ltd.","Beverages, China"
KGHM Polska Miedz SA,"Primary Metals, Poland"
Iwatani Corp.,"Machinery, Japan"
PT Gudang Garam TBK,"Tobacco, Indonesia"
Minebea Co. Ltd.,"Fabricated Metal Products, Japan"
Grupo Carso SA de CV,"Tobacco, Mexico"
Harris Corp.,"Communications Equipment, United States"
Southern Copper Corp.,"Primary Metals, United States"
Techtronic Industries Co. Ltd.,"Miscellaneous, Hong Kong Special Administrative Region of China"
GEA Group AG,"Miscellaneous, Germany"
Morinaga Milk Industry Co. Ltd.,"Food, Japan"
Sonoco Products Co.,"Paper, United States"
NVIDIA Corp.,"Computers & Other Electronic Products, United States"
Mitsubishi Gas Chemical Co. Inc.,"Chemicals, Japan"
Cintas Corp.,"Apparel, United States"
Hindustan Unilever Ltd.,"Miscellaneous, India"
Leoni AG,"Fabricated Metal Products, Germany"
Juniper Networks Inc.,"Computers & Other Electronic Products, United States"
Berry Plastics Group Inc.,"Plastics, United States"
Hotai Motor Co. Ltd.,"Motor Vehicles, Taiwan Province of China"
Arcelik AS,"Electrical Equipment & Appliances, Turkey"
Dongkuk Steel Mill Co. Ltd.,"Primary Metals, Korea"
Empresas CMPC SA,"Paper, Chile"
Savencia SA,"Food, France"
MTU Aero Engines AG,"Aerospace & Defense, Germany"
Pioneer Natural Resources Co.,"Petroleum & Coal Products, United States"
RPM International Inc.,"Chemicals, United States"
Thai Beverage Public Co. Ltd.,"Beverages, Thailand"
Megmilk Snow Brand Co. Ltd.,"Food, Japan"
Kewpie Corp.,"Food, Japan"
Inabata & Co. Ltd.,"Computers & Other Electronic Products, Japan"
Daiwabo Holdings Co. Ltd.,"Textiles, Japan"
Yunnan Tin Co. Ltd.,"Primary Metals, China"
Bandai Namco Holdings Inc.,"Miscellaneous, Japan"
Boliden AB,"Primary Metals, Sweden"
Zoetis Inc.,"Pharmaceuticals, United States"
Marfrig Global Foods SA,"Food, Brazil"
Liaoni Huajin Tongda Chemicals Co. Ltd.,"Petroleum & Coal Products, China"
UACJ Corp.,"Primary Metals, Japan"
Hanon Systems,"Machinery, Korea"
Italcementi SpA,"Stone, Clay, Glass & Concrete Products, Italy"
Polaris Industries Inc.,"Railcars, Ships, & Other Trans. Equip., United States"
Aperam SA,"Fabricated Metal Products, Luxembourg"
Alfa-Laval AB,"Machinery, Sweden"
Toto Ltd.,"Stone, Clay, Glass & Concrete Products, Japan"
J.M. Voith AG,"Machinery, Germany"
Spectrum Brands Holdings Inc.,"Electrical Equipment & Appliances, United States"
Hengyi Petrochemical Co. Ltd.,"Fabricated Metal Products, China"
Activision Blizzard Inc.,"Computers & Other Electronic Products, United States"
Hisense Electric Co. Ltd.,"Computers & Other Electronic Products, China"
Coca-Cola East Japan Co. Ltd.,"Beverages, Japan"
Post Holdings Inc.,"Food, United States"
Geely Automobile Holdings Ltd.,"Motor Vehicles, Hong Kong Special Administrative Region of China"
Indofood Sukses Makmur TBK,"Food, Indonesia"
Smith & Nephew PLC,"Medical Instruments & Equipment, United Kingdom"
Acerinox SA,"Primary Metals, Spain"
Nisshin Seifun Group Inc.,"Food, Japan"
Nine Dragons Paper (Holdings) Ltd.,"Paper, Hong Kong Special Administrative Region of China"
Kaneka Corp.,"Chemicals, Japan"
Perrigo Company PLC,"Chemicals, Ireland"
Dassault Aviation SA,"Aerospace & Defense, France"
Wolters Kluwer NV,"Publishing & Printing, Netherlands"
Flowserve Corp.,"Machinery, United States"
Fortune Brands Home & Security Inc.,"Fabricated Metal Products, United States"
Eisai Co. Ltd.,"Pharmaceuticals, Japan"
K & S AG,"Chemicals, Germany"
Nisshin Steel Co. Ltd.,"Fabricated Metal Products, Japan"
Hitachi Chemical Co. Ltd.,"Chemicals, Japan"
Walsin Lihwa Corp.,"Fabricated Metal Products, Taiwan Province of China"
Keurig Green Mountain Inc.,"Food, United States"
LG Household & Healthcare Ltd.,"Miscellaneous, Korea"
Byd Electronic International Co. Ltd.,"Computers & Other Electronic Products, China"
Bengang Steel Plates Co. Ltd.,"Fabricated Metal Products, China"
China Resources Beer Holdings Co. Ltd.,"Food, Hong Kong Special Administrative Region of China"
SK Chemicals Co.,"Chemicals, Korea"
Imerys SA,"Stone, Clay, Glass & Concrete Products, France"
Nippon Paint Co. Ltd.,"Chemicals, Japan"
Hasbro Inc.,"Miscellaneous, United States"
Sapporo Holdings Ltd.,"Food, Japan"
Nichirei Corp.,"Food, Japan"
Westlake Chemical Corp.,"Chemicals, United States"
Nisshinbo Holdings Inc.,"Miscellaneous, Japan"
Toshiba TEC Corp.,"Computers & Other Electronic Products, Japan"
Givaudan AG,"Chemicals, Switzerland"
Rengo Co. Ltd.,"Paper, Japan"
EnCana Corp.,"Petroleum & Coal Products, Canada"
Shenergy Co. Ltd.,"Electrical Equipment & Appliances, China"
Arca Continental SAB de CV,"Beverages, Mexico"
United Microelectronics Corp.,"Computers & Other Electronic Products, Taiwan Province of China"
Valspar Corp.,"Chemicals, United States"
Unipetrol AS,"Petroleum & Coal Products, Czech Republic"
Terumo Corp.,"Medical Instruments & Equipment, Japan"
Alon USA Energy Inc.,"Petroleum & Coal Products, United States"
Kuraray Co. Ltd.,"Chemicals, Japan"
Sinotruk (Hong Kong) Ltd.,"Motor Vehicles, China"
Arrium Ltd.,"Fabricated Metal Products, Australia"
Coty Inc.,"Chemicals, United States"
McCormick & Co. Inc.,"Food, United States"
Smiths Group PLC,"Aerospace & Defense, United Kingdom"
Husqvarna AB,"Instruments, Sweden"
CF Industries Holdings Inc.,"Chemicals, United States"
"Grifols SA, Barcelona","Pharmaceuticals, Spain"
Tsingtao Brewery Co. Ltd.,"Food, China"
Hero MotoCorp Ltd.,"Motor Vehicles, India"
Nissan Shatai Co. Ltd.,"Motor Vehicles, Japan"
Kingboard Chemical Holdings Ltd.,"Fabricated Metal Products, Hong Kong Special Administrative Region of China"
Sun Pharmaceutical Industries Ltd.,"Pharmaceuticals, India"
China CSSC Holdings Ltd.,"Railcars, Ships, & Other Trans. Equip., China"
General Cable Corp.,"Fabricated Metal Products, United States"
UCB SA,"Pharmaceuticals, Belgium"
Calumet Specialty Products Partners LP,"Petroleum & Coal Products, United States"
Andersons Inc.,"Chemicals, United States"
Bangchak Petroleum Public Co. Ltd.,"Petroleum & Coal Products, Thailand"
MDU Resources Group Inc.,"Miscellaneous, United States"
Coach Inc.,"Apparel, United States"
Hoya Corp.,"Stone, Clay, Glass & Concrete Products, Japan"
Nintendo Co. Ltd.,"Miscellaneous, Japan"
Claas KGaA,"Machinery, Germany"
Graphic Packaging Holding Co.,"Paper, United States"
Aryzta AG,"Food, Switzerland"
Chugai Pharmaceutical Co. Ltd.,"Pharmaceuticals, Japan"
Xiamen King Long Motor Co. Ltd.,"Motor Vehicles, China"
Orica Ltd.,"Chemicals, Australia"
Vallourec Group SA,"Primary Metals, France"
Kolon Industries Inc.,"Plastics, Korea"
OAO TMK,"Fabricated Metal Products, Russian Federation"
Western Mining Co. Ltd.,"Primary Metals, China"
Axalta Coating Systems Ltd.,"Miscellaneous, Bermuda"
FAW Car Co. Ltd.,"Motor Vehicle Parts, China"
Regeneron Pharmaceuticals Inc.,"Pharmaceuticals, United States"
Brunswick Corp.,"Miscellaneous, United States"
Eregli Demir Ve Celik Fabrikalari TAS,"Fabricated Metal Products, Turkey"
Oki Electric Industry Co. Ltd.,"Communications Equipment, Japan"
Duerr AG,"Chemicals, Germany"
Mead Johnson Nutrition Co.,"Beverages, United States"
Avichina Industry & Technology Co. Ltd.,"Motor Vehicle Parts, China"
Bemis Co. Inc.,"Miscellaneous, United States"
Korea Zinc Co. Ltd.,"Primary Metals, Korea"
Qisda Corp.,"Communications Equipment, Taiwan Province of China"
Fresh Del Monte Produce Inc.,"Food, Cayman Islands"
Tesla Motors Inc.,"Motor Vehicles, United States"
Ebara Corp.,"Machinery, Japan"
Agilent Technologies Inc.,"Instruments, United States"
Gibson Energy Inc,"Petroleum & Coal Products, Canada"
Anglogold Ashanti Ltd.,"Primary Metals, South Africa"
China National Accord Medicines Co. Ltd.,"Pharmaceuticals, China"
Thor Industries Inc.,"Motor Vehicles, United States"
Bekaert NV,"Fabricated Metal Products, Belgium"
Barloworld Ltd.,"Miscellaneous, South Africa"
Technicolor SA,"Computers & Other Electronic Products, France"
Shree Cements Ltd.,"Stone, Clay, Glass & Concrete Products, India"
Liuzhou Iron & Steel Co. Ltd.,"Fabricated Metal Products, China"
Advanced Micro Devices Inc.,"Computers & Other Electronic Products, United States"
AMETEK Inc.,"Instruments, United States"
Trinseo SA,"Plastics, Luxembourg"
Galenica AG,"Pharmaceuticals, Switzerland"
Colfax Corp,"Machinery, United States"
Tokai Rika Co. Ltd.,"Motor Vehicle Parts, Japan"
Under Armour Inc.,"Apparel, United States"
Antero Resources Corp.,"Petroleum & Coal Products, United States"
SMC Corp.,"Computers & Other Electronic Products, Japan"
Daio Paper Corp.,"Paper, Japan"
Leggett & Platt Inc.,"Furniture & Fixtures, United States"
American Axle & Mfg. Holdings Inc.,"Motor Vehicle Parts, United States"
CSSC Offshore & Marine Engineering Group Co. Ltd.,"Railcars, Ships, & Other Trans. Equip., China"
Gamesa Corporacion Tecnologica SA,"Aerospace & Defense, Spain"
Nissin Food Holdings Co. Ltd.,"Food, Japan"
Harbin Electric Co. Ltd.,"Electrical Equipment & Appliances, China"
Companhia Siderurgica Nacional,"Primary Metals, Brazil"
WhiteWave Foods Co.,"Food, United States"
Prada Spa,"Apparel, Italy"
Triumph Group Inc.,"Aerospace & Defense, United States"
Slovnaft AS,"Petroleum & Coal Products, Slovakia"
Anglo American Platinum Ltd.,"Primary Metals, South Africa"
Nippon Light Metal Holdings Co. Ltd.,"Fabricated Metal Products, Japan"
Lonza Group AG,"Pharmaceuticals, Switzerland"
Lonza Ltd. (Switzerland),"Pharmaceuticals, Switzerland"
Nanjing Pharmaceutical Co. Ltd.,"Pharmaceuticals, China"
Daido Steel Co. Ltd.,"Primary Metals, Japan"
CommScope Holding Co. Inc.,"Communications Equipment, United States"
Flowers Foods Inc.,"Food, United States"
Jiangling Motors Corp. Ltd.,"Motor Vehicles, China"
Fortum Corp.,"Petroleum & Coal Products, Finland"
USG Corp.,"Stone, Clay, Glass & Concrete Products, United States"
Coca-Cola Amatil Ltd.,"Beverages, Australia"
Orkla ASA,"Food, Norway"
Mitsui Mining & Smelting Co. Ltd.,"Primary Metals, Japan"
Daicel Corp.,"Chemicals, Japan"
Industrias Penoles SAB de CV,"Primary Metals, Mexico"
Silgan Holdings Inc.,"Fabricated Metal Products, United States"
Pioneer Corp.,"Computers & Other Electronic Products, Japan"
Allegheny Technologies Inc.,"Computers & Other Electronic Products, United States"
Linamar Corp.,"Machinery, Canada"
Yulon Motor Company Ltd.,"Motor Vehicles, Taiwan Province of China"
HTC Corp.,"Computers & Other Electronic Products, Taiwan Province of China"
TPK Holding Co. Ltd.,"Computers & Other Electronic Products, Taiwan Province of China"
Chocoladefabriken Lindt & Sprungli AG,"Food, Switzerland"
Georg Fischer AG,"Primary Metals, Switzerland"
Puma AG Rudolf Dassler Sport,"Apparel, Germany"
TCL Communication Technology Holdings Ltd.,"Communications Equipment, Hong Kong Special Administrative Region of China"
Almarai Ltd.,"Food, Saudi Arabia"
Albemarle Corp.,"Chemicals, United States"
"Coca-Cola West Co., Ltd.","Beverages, Japan"
Resolute Forest Products Inc.,"Paper, Canada"
Zebra Technologies Corp.,"Machinery, United States"
Axel Springer AG,"Publishing & Printing, Germany"
Futaba Industrial Co. Ltd.,"Motor Vehicle Parts, Japan"
NGK Insulators Ltd.,"Miscellaneous, Japan"
Yamaha Corp.,"Miscellaneous, Japan"
Greif Inc.,"Paper, United States"
Xi'an Aero-Engine PLC,"Railcars, Ships, & Other Trans. Equip., China"
Felda Global Ventures Holdings BHD,"Food, Malaysia"
Hisense Kelon Electrical Holdings Co. Ltd.,"Electrical Equipment & Appliances, China"
Snap-On Inc.,"Instruments, United States"
China Foods Ltd.,"Food, Hong Kong Special Administrative Region of China"
Getinge AB,"Medical Instruments & Equipment, Sweden"
Mitsubishi Tanabe Pharma Corp.,"Pharmaceuticals, Japan"
Shanghai Zhenhua Heavy Industry Co. Ltd.,"Machinery, China"
Sequana,"Paper, France"
Hyundai Hysco Co. Ltd.*,"Motor Vehicle Parts, Korea"
Roper Technologies Inc.,"Miscellaneous, United States"
Pitney Bowes Inc.,"Computers & Other Electronic Products, United States"
First Solar Inc.,"Electrical Equipment & Appliances, United States"
PT United Tractors,"Machinery, Indonesia"
ITO EN Ltd.,"Food, Japan"
Molson Coors Brewing Co.,"Beverages, Canada"
Builders FirstSource Inc.,"Wood Products, United States"
Viohalco SA,"Primary Metals, Belgium"
Cheng Shin Rubber Industries Co. Ltd.,"Rubber Products, Taiwan Province of China"
Lexmark International Inc.,"Computers & Other Electronic Products, United States"
Asics Corp.,"Apparel, Japan"
Carlisle Cos. Inc.,"Miscellaneous, United States"
KT&G Corp.,"Tobacco, Korea"
Martin Marietta Materials Inc.,"Stone, Clay, Glass & Concrete Products, United States"
Fuji Oil Co. Ltd.,"Petroleum & Coal Products, Japan"
Krones AG,"Machinery, Germany"
Sumitomo Riko Co. Ltd.,"Rubber Products, Japan"
Makita Corp.,"Machinery, Japan"
Meritor Inc.,"Motor Vehicle Parts, United States"
Tate & Lyle PLC,"Food, United Kingdom"
ON Semiconductor Corp.,"Computers & Other Electronic Products, United States"
INA dd*,"Petroleum & Coal Products, Croatia"
Thai Union Group PLC Ltd.,"Food, Thailand"
Lennox International Inc.,"Electrical Equipment & Appliances, United States"
Canadian Solar Inc.,"Electronic/Electric Equip., Canada"
Inner Mongolian Baotou Steel Union Co. Ltd.,"Fabricated Metal Products, China"
China Resources Cement Holdings Ltd.,"Stone, Clay, Glass & Concrete Products, Hong Kong Special Administrative Region of China"
Guangzhou Automobile Group Co. Ltd.*,"Motor Vehicles, China"
Regal Beloit Corp.,"Machinery, United States"
Seah Holdings Co. Ltd.,"Primary Metals, Korea"
WT Microelectronics Co. Ltd.,"Electronic/Electric Equip., Taiwan Province of China"
Yokogawa Electric Corp.,"Instruments, Japan"
Analog Devices Inc.,"Computers & Other Electronic Products, United States"
Manitowoc Co. Inc.,"Machinery, United States"
Mechel PAO,"Fabricated Metal Products, Russian Federation"
Bajaj Auto Ltd.,"Motor Vehicles, India"
Want Want China Holdings Ltd,"Food, China"
C.R. Bard Inc.,"Medical Instruments & Equipment, United States"
Yaskawa Electric Corp.,"Electrical Equipment & Appliances, Japan"
Northern Tier Energy LP,"Petroleum & Coal Products, United States"
Uni-President China Holdings Ltd.,"Food, China"
Vulcan Materials Co.,"Stone, Clay, Glass & Concrete Products, United States"
Darling Ingredients Inc.,"Food, United States"
Church & Dwight Co. Inc.,"Chemicals, United States"
Hubbell Inc.,"Electrical Equipment & Appliances, United States"
Toyo Tire & Rubber Co. Ltd.,"Rubber Products, Japan"
Kikkoman Corp.,"Food, Japan"
Dowa Holdings Co. Ltd.,"Primary Metals, Japan"
Stanley Electric Co. Ltd.,"Motor Vehicle Parts, Japan"
Axiall Corp.,"Chemicals, United States"
PolyOne Corp.,"Plastics, United States"
Gruma SAB de CV,"Food, Mexico"
Dainippon Sumitomo Pharma Co. Ltd.,"Chemicals, Japan"
UMW Holdings Berhad,"Machinery, Malaysia"
Mallinckrodt PLC,"Pharmaceuticals, United Kingdom"
Kumho Petrochemical Co. Ltd.,"Rubber Products, Korea"
Huadong Medicine Co. Ltd.,"Pharmaceuticals, China"
Wuliangye Yibin Co Ltd,"Beverages, China"
Mitani Corp.,"Computers & Other Electronic Products, Japan"
Wabtec Corp.,"Railcars, Ships, & Other Trans. Equip., United States"
Cooper-Standard Holdings Inc.,"Motor Vehicle Parts, United States"
Cheng Uei Precision Industry,"Communications Equipment, Taiwan Province of China"
Eramet SA,"Primary Metals, France"
Skyworks Solutions Inc.,"Computers & Other Electronic Products, United States"
Paz Oil Co Ltd.,"Petroleum & Coal Products, Israel"
FMC Corp.,"Chemicals, United States"
"Bestv New Media Co., Ltd.","Electronic/Electric Equip., China"
Kolon Corp.,"Textiles, Korea"
Endo International PLC,"Pharmaceuticals, Ireland"
China Oriental Group Co. Ltd.,"Primary Metals, Hong Kong Special Administrative Region of China"
Visteon Corp.,"Motor Vehicle Parts, United States"
Metso Corp.,"Machinery, Finland"
Wienerberger AG,"Stone, Clay, Glass & Concrete Products, Austria"
Fossil Group Inc.,"Apparel, United States"
Hitachi Zosen Corp.,"Machinery, Japan"
Yakult Honsha Co. Ltd.,"Food, Japan"
JSR Corp.,"Chemicals, Japan"
TreeHouse Foods Inc.,"Food, United States"
Fromageries Bel,"Food, France"
Zoomlion Heavy Ind. Sci. & Tech. Co. Ltd.,"Machinery, China"
NGK Spark Plug Co. Ltd.,"Motor Vehicle Parts, Japan"
Kuwait Food Co.,"Food, Kuwait"
Orbital ATK Inc.,"Aerospace & Defense, United States"
Coca-Cola European Partners PLC,"Food, United Kingdom"